Index,NF Instance ID,Data Network Name,PNFNS Index,PDU Session Type,Priority Switch,Priority,Capacity Switch,Capacity
9200,a5d0c813-f5a7-4510-b97a-9ee506b3a794,test5gsmf                    ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9201,a5d0c813-f5a7-4510-b97a-9ee506b3a794,test010                      ,200,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9202,a5d0c813-f5a7-4510-b97a-9ee506b3a794,testdedicatepub.5g           ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9203,a5d0c813-f5a7-4510-b97a-9ee506b3a794,test5gcorp1                  ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9204,a5d0c813-f5a7-4510-b97a-9ee506b3a794,test5gcorp2                  ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9205,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test5gsaipcbb                ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9206,a5d0c813-f5a7-4510-b97a-9ee506b3a794,testlocaldedicate.5g         ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9207,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.fwa.5g                 ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9208,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.factory.5g             ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9209,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.vdofulld.5g            ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9210,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.vdo4k.5g               ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9211,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.vdo4kh265.5g           ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9212,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.amr.5g                 ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9213,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.arfullhd.5g            ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9214,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.ar4k.5g                ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9215,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.vr2k.5g                ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9216,3d5a0697-2a3c-43bc-7d7e-0425592b5489,slice.vr4k.5g                ,1001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9221,a5d0c813-f5a7-4510-b97a-9ee506b3a794,sbn.lertvilai100m40m         ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9223,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,sncmec.5g                    ,10003,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9223,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test500                      ,1007,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,0,INHERIT          ,0
9223,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test500                      ,1004,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,0,INHERIT          ,0
9223,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test500                      ,1000,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,0,INHERIT          ,0
9223,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test500                      ,1003,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,0,INHERIT          ,0
9224,3d5a0697-2a3c-43bc-7d7e-0425592b5489,testupftl21h.mecngnet        ,1010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9225,a5d0c813-f5a7-4510-b97a-9ee506b3a794,testupfsla1h.mecngnet        ,2010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9226,9383a6b0-add1-4211-8b17-3ecbbefb6fdf,testupfpty1h.mecngnet        ,3010,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
9227,a5d0c813-f5a7-4510-b97a-9ee506b3a794,test5gcorp3                  ,2001,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,SPECIFIC         ,100,INHERIT          ,0
9228,3d5a0697-2a3c-43bc-7d7e-0425592b5489,test500                      ,100,IPV4&IPV6&IPV4V6&UNSTRUCTURED&ETHERNET,INHERIT          ,0,INHERIT          ,0
